,PREDICT
0,BOOK
1,VIDEOCASS
2,BOOK
3,BOOK
4,BOOK
5,BOOK
6,SOUNDDISC
7,BOOK
8,BOOK
9,BOOK
10,VIDEOCASS
11,BOOK
12,BOOK
13,BOOK
14,BOOK
15,BOOK
16,BOOK
17,BOOK
18,BOOK
19,BOOK
20,BOOK
21,SOUNDDISC
22,BOOK
23,BOOK
24,BOOK
25,BOOK
26,BOOK
27,BOOK
28,BOOK
29,BOOK
30,BOOK
31,BOOK
32,BOOK
33,BOOK
34,BOOK
35,BOOK
36,SOUNDDISC
37,BOOK
38,BOOK
39,BOOK
40,BOOK
41,BOOK
42,BOOK
43,VIDEOCASS
44,BOOK
45,VIDEODISC
46,BOOK
47,BOOK
48,BOOK
49,CR
50,BOOK
51,BOOK
52,BOOK
53,BOOK
54,BOOK
55,BOOK
56,BOOK
57,BOOK
58,BOOK
59,BOOK
60,BOOK
61,BOOK
62,SOUNDDISC
63,VIDEOCASS
64,BOOK
65,VIDEOCASS
66,BOOK
67,BOOK
68,VIDEOCASS
69,BOOK
70,BOOK
71,BOOK
72,BOOK
73,BOOK
74,BOOK
75,BOOK
76,BOOK
77,VIDEOCASS
78,BOOK
79,BOOK
80,VIDEOCASS
81,BOOK
82,BOOK
83,VIDEOCASS
84,BOOK
85,BOOK
86,BOOK
87,VIDEOCASS
88,BOOK
89,BOOK
90,VIDEODISC
91,BOOK
92,BOOK
93,BOOK
94,BOOK
95,VIDEOCASS
96,BOOK
97,BOOK
98,BOOK
99,BOOK
100,BOOK
101,BOOK
102,VIDEOCASS
103,BOOK
104,VIDEOCASS
105,BOOK
106,BOOK
107,BOOK
108,BOOK
109,BOOK
110,BOOK
111,BOOK
112,BOOK
113,BOOK
114,BOOK
115,VIDEOCASS
116,BOOK
117,BOOK
118,BOOK
119,VIDEOCASS
120,BOOK
121,BOOK
122,BOOK
123,BOOK
124,BOOK
125,BOOK
126,BOOK
127,BOOK
128,BOOK
129,BOOK
130,BOOK
131,BOOK
132,BOOK
133,VIDEOCASS
134,BOOK
135,BOOK
136,SOUNDCASS
137,BOOK
138,BOOK
139,BOOK
140,BOOK
141,VIDEODISC
142,BOOK
143,BOOK
144,SOUNDCASS
145,BOOK
146,BOOK
147,SOUNDCASS
148,BOOK
149,BOOK
150,BOOK
151,BOOK
152,BOOK
153,BOOK
154,BOOK
155,BOOK
156,VIDEOCASS
157,MIXED
158,BOOK
159,BOOK
160,BOOK
161,BOOK
162,SOUNDDISC
163,BOOK
164,BOOK
165,BOOK
166,BOOK
167,BOOK
168,BOOK
169,BOOK
170,VIDEOCASS
171,BOOK
172,BOOK
173,BOOK
174,BOOK
175,SOUNDDISC
176,BOOK
177,BOOK
178,VIDEOCASS
179,VIDEOCASS
180,BOOK
181,BOOK
182,BOOK
183,BOOK
184,VIDEODISC
185,BOOK
186,BOOK
187,BOOK
188,BOOK
189,VIDEODISC
